sample_id,source_stream_id,goal,recipe_name,target_global_idx,target_local_idx,target_action,matched_recipe_steps,matched_ingredients,num_actions,num_natural_noise_or_context,noise_fraction,local_context,keep_for_perturbation,rejection_reason,manual_notes
P03_R03_C01_W01,P03_R03_C01,prepare drip coffee,Drip Coffee,89,25,Shake the now open coffee grinder box above the coffee filter to pour the remaining bits of loose ground coffee into the filter.,Pour ground coffee into the metal V60 filter,,51,24,0.4706,"CTX local=20 global=84 role=recipe_context: Now that the coffee grinder is stable, pull the coffee grinder bottom compartment with my right hand.
CTX local=21 global=85 role=candidate_pivotal: Using both hands, tilt the coffee grinder box containing the ground coffee, tilt the box above the V60 coffee filter, while holding the box closed by holding the lid in place with my left hand and tapping the container to ensure that all coffee ground is poured into the V60 filter.
CTX local=22 global=86 role=candidate_pivotal: Using my right hand shake the V60 coffee filter horizontally by sliding it along the kitchen or multiple times to ensure that the coffee ground is evenly distributed.
CTX local=23 global=87 role=candidate_pivotal: Continue tapping on the coffee grinder box to shake the ground coffee of the grinder container into the V60 filter.
CTX local=24 global=88 role=candidate_pivotal: Now that most of the coffee ground is poured into the filter, remove the coffee grinder container lid with my left hand so that I can pour the remaining ground coffee into the filter.
TARGET local=25 global=89 role=candidate_pivotal: Shake the now open coffee grinder box above the coffee filter to pour the remaining bits of loose ground coffee into the filter.
CTX local=26 global=90 role=recipe_context: With my left hand, attach the lid to the top of the coffee grinder box that I'm holding in my right hand.
CTX local=27 global=91 role=natural_noise_or_context: With my right hand, put down the coffee grinder box on the kitchen top next to the bread.
CTX local=28 global=92 role=natural_noise_or_context: With my right hand, grab the orange cloth hanging from the tap above the sink.
CTX local=29 global=93 role=natural_noise_or_context: While holding the orange cloth under the tap with my left hand, using the right hand turn on the tap.
CTX local=30 global=94 role=natural_noise_or_context: Rinse the orange cloth using running tab water to make the cloth more absorbent. Squeezing the cloth as I rinse it to make sure there is not too much water in the cloth.",,,
P03_R03_C01_W02,P03_R03_C01,prepare drip coffee,Drip Coffee,66,25,"Place the kettle on its base, which is located on the kitchen top between the microwave oven and the rice cooker.",Boil water using kettle,,51,1,0.0196,"CTX local=20 global=61 role=recipe_context: With my left hand, pick up the kettle from the kitchen top.
CTX local=21 global=62 role=recipe_context: Open the kettle by pushing a button located on the top of the kettle with my left thumb.
CTX local=22 global=63 role=recipe_context: While holding the kettle above the sink under the tap with my left hand, using my right hand, turn on the tap and fill the kettle with tap water.
CTX local=23 global=64 role=recipe_context: Turn off tap using my right hand.
CTX local=24 global=65 role=recipe_context: Close the kettle lid by pushing it downwards with my right hand.
TARGET local=25 global=66 role=candidate_pivotal: Place the kettle on its base, which is located on the kitchen top between the microwave oven and the rice cooker.
CTX local=26 global=67 role=recipe_context: With my left hand, turn on the kettle by flicking the switch located at the bottom of the kettle.
CTX local=27 global=68 role=recipe_context: Having realized by hearing the sound of the coffee grinder that the grinder hadn't fully ground all the coffee beans, turn on the coffee grinder again by pushing the button on the top of the grinder.
CTX local=28 global=69 role=recipe_context: With my right hand, pick up the piece of coffee beans bag that I previously cut off from the bag when I opened it with the scissors.
CTX local=29 global=70 role=recipe_context: With my right hand, open the soft plastic recycling bin by pulling the lid upwards.
CTX local=30 global=71 role=recipe_context: Close the recycling bin by letting go of the lid.",,,
P03_R03_C02_W01,P03_R03_C02,prepare drip coffee,Drip Coffee,123,25,"With my right hand, tilt the kettle to pour water into the V60 metal filter. I pour water slowly and in a rotating motion to better brew the coffee.","Pour water into the V60. Pour enough hot water to soak all the coffee grounds, then wait until most water is filtered through.",,51,42,0.8235,"CTX local=20 global=118 role=natural_noise_or_context: With my right hand, pick up a white bowl which is now empty from the bottom shelf of the cupboard.
CTX local=21 global=119 role=natural_noise_or_context: Place the white bowl on the middle shelf of the cupboard on top of two large plates and one small red plate.
CTX local=22 global=120 role=natural_noise_or_context: Place the stack of three small grey bowls back on the bottom shelf of the cupboard. Now the cupboard should close fully.
CTX local=23 global=121 role=natural_noise_or_context: With my right hand, close the cupboard.
CTX local=24 global=122 role=recipe_context: With my right hand, pick up the kettle from the kitchen top next to the coffee jug.
TARGET local=25 global=123 role=candidate_pivotal: With my right hand, tilt the kettle to pour water into the V60 metal filter. I pour water slowly and in a rotating motion to better brew the coffee.
CTX local=26 global=124 role=candidate_pivotal: Put the kettle down on the kitchen top as I wait for the water to go through the coffee filter.
CTX local=27 global=125 role=natural_noise_or_context: With my right hand, pull the fridge door to open the fridge.
CTX local=28 global=126 role=natural_noise_or_context: With my left hand, pick up butter from the middle tray attached to the fridge door.
CTX local=29 global=127 role=natural_noise_or_context: With my right hand, close the fridge.
CTX local=30 global=128 role=natural_noise_or_context: With my right hand, put the butter down on the table.",,,
P03_R03_C02_W02,P03_R03_C02,prepare drip coffee,Drip Coffee,143,25,Put the kettle down on the kitchen top with my right hand.,"Slowly pour over the remaining water over the coffee, making small circles. Stop when the water is 3/4 of the way or 2 cm from the top.",,51,36,0.7059,"CTX local=20 global=138 role=natural_noise_or_context: With my left hand, pull the dishwasher door down to open the dishwasher.
CTX local=21 global=139 role=natural_noise_or_context: Place the knife into the dishwasher cutlery tray, which is located on the bottom left corner of the dishwasher bottom rack.
CTX local=22 global=140 role=natural_noise_or_context: Pull the dishwasher door up to close the dishwasher.
CTX local=23 global=141 role=recipe_context: With my right hand, pick up the kettle from the kitchen top.
CTX local=24 global=142 role=candidate_pivotal: Tilt the kettle to pour more water into the V60 metal filter to brew the coffee. I pour water slowly and in a rotating motion to distribute the water evenly in the V60 filter to better brew the coffee.
TARGET local=25 global=143 role=candidate_pivotal: Put the kettle down on the kitchen top with my right hand.
CTX local=26 global=144 role=natural_noise_or_context: With my right hand, pick up the toaster from the bottom shelf of the cupboard.
CTX local=27 global=145 role=natural_noise_or_context: With my left hand, pull the cupboard next to the dishwasher to open it.
CTX local=28 global=146 role=natural_noise_or_context: With my left hand, push the cupboard in the corner next to the dishwasher to close the cupboard.
CTX local=29 global=147 role=natural_noise_or_context: With my left hand, grab the toaster lead as I walk towards the kitchen top.
CTX local=30 global=148 role=natural_noise_or_context: With my right hand, put the toaster down on the kitchen top next to the hob.",,,
P03_R03_C03_W01,P03_R03_C03,prepare drip coffee,Drip Coffee,93,25,Put the lid on the top of the container using the left hand.,Pour ground coffee into the metal V60 filter,,51,43,0.8431,"CTX local=20 global=88 role=natural_noise_or_context: With my left hand, close the cupboard by pulling and then pushing the cupboard.
CTX local=21 global=89 role=recipe_context: With my right hand, pull the coffee grinder bottom drawer containing the coffee that has just been ground.
CTX local=22 global=90 role=recipe_context: With my left hand, grab the V60 coffee filter that is standing on top of the coffee jug and put it down on the kitchen top.
CTX local=23 global=91 role=candidate_pivotal: Pour the ground coffee into the V60 coffee filter by tilting the ground coffee container so that coffee grounds fall into the filter and tapping the container so that all the coffee is poured into the filter. While doing this I'm holding the lid of the container with the left hand in place so that I don't make a mess while pouring the coffee.
CTX local=24 global=92 role=candidate_pivotal: Now that there is less coffee in the container, remove the lid from the container and pour the remaining ground coffee from the container and the lid by tapping both against the rim of the coffee filter.
TARGET local=25 global=93 role=candidate_pivotal: Put the lid on the top of the container using the left hand.
CTX local=26 global=94 role=recipe_context: Put the coffee container with my right hand on the kitchen top.
CTX local=27 global=95 role=natural_noise_or_context: With my left hand, grab the orange cloth hanging from the tap above the sink.
CTX local=28 global=96 role=natural_noise_or_context: While holding a cloth underneath the tap with my left hand, using the right hand to turn on the tap.
CTX local=29 global=97 role=natural_noise_or_context: Rinse the orange cloth using running tap water to both clean the cloth and make it more absorbent.
CTX local=30 global=98 role=natural_noise_or_context: With the right hand, turn off the tap.",,,
P03_R03_C03_W02,P03_R03_C03,prepare drip coffee,Drip Coffee,127,25,"With my left hand, grab the coffee jug and move it slightly to the right along the kitchen top.",Pour ground coffee into the metal V60 filter,,51,41,0.8039,"CTX local=20 global=122 role=recipe_context: Hang the cloth by the hook onto the cupboard next to the sink.
CTX local=21 global=123 role=recipe_context: Turn off the kettle with my left hand by flicking the switch at the bottom of the kettle.
CTX local=22 global=124 role=recipe_context: With my left hand, pick up the kettle since the water is now boiled and is ready to be poured to make coffee.
CTX local=23 global=125 role=recipe_context: Put down the kettle on the kitchen top next to the V60 coffee filter.
CTX local=24 global=126 role=recipe_context: With my right hand, grab the v60 coffee filter from the kitchen top.
TARGET local=25 global=127 role=candidate_pivotal: With my left hand, grab the coffee jug and move it slightly to the right along the kitchen top.
CTX local=26 global=128 role=candidate_pivotal: Stack the V60 coffee filter on top of the coffee jug so that I can later pour water into the filter and into the jug.
CTX local=27 global=129 role=natural_noise_or_context: With my right hand, open the fridge by pulling the door.
CTX local=28 global=130 role=natural_noise_or_context: With my left hand pick up the bread from the top shelf of the fridge.
CTX local=29 global=131 role=natural_noise_or_context: With my right hand, close the fridge by pushing the door.
CTX local=30 global=132 role=natural_noise_or_context: Using both hands, unwrap the bread plastic wrapping so that I can later get a slice of bread from it.",,,
P03_R03_C03_W03,P03_R03_C03,prepare drip coffee,Drip Coffee,62,25,Turn on the kettle with the left hand by switching the lever at the bottom of the kettle.,Boil water using kettle,,51,31,0.6078,"CTX local=20 global=57 role=natural_noise_or_context: Quickly rinse the red coffee spoon using running tap water, rotating the spoon in a horizontal motion and flipping it to remove the excess water.
CTX local=21 global=58 role=natural_noise_or_context: Shake the red coffee spoon above the sink to remove excess water from it.
CTX local=22 global=59 role=recipe_context: Place the red coffee spoon in the bottom shelf of the drying rack, located on the right hand side of the sink.
CTX local=23 global=60 role=candidate_pivotal: With the left hand, lift the kettle located between the microwave oven and the rice cooker.
CTX local=24 global=61 role=candidate_pivotal: Put the kettle down again on its base with my left hand.
TARGET local=25 global=62 role=candidate_pivotal: Turn on the kettle with the left hand by switching the lever at the bottom of the kettle.
CTX local=26 global=63 role=recipe_context: Turn off the coffee grinder with my right hand by pushing the button on the top of the grinder.
CTX local=27 global=64 role=recipe_context: Pick up the metal V60 coffee filter with my right hand from the top shelf of the drying rack located on the sink.
CTX local=28 global=65 role=recipe_context: With my right hand shake the V60 coffee filter above the sink to remove excess water.
CTX local=29 global=66 role=recipe_context: Place the metal V60 coffee filter on its rack, which is located on the kitchen top.
CTX local=30 global=67 role=recipe_context: Without letting go of the V60 filter, lift the filter and place it on top of the coffee jug that is standing next to the filter.",,,
P03_R03_C03_W04,P03_R03_C03,prepare drip coffee,Drip Coffee,38,25,"Since I'm preparing two cups of coffee, scoop another spoon of coffee beans with my right hand using the red coffee spoon.",Grind coffee beans using the electric coffee grinder,coffee beans,51,13,0.2549,"CTX local=20 global=33 role=recipe_context: Open the coffee beans bag by pulling the sides of the bag using the right hand.
CTX local=21 global=34 role=recipe_context: Pick up the red coffee spoon from the kitchen top using my right hand.
CTX local=22 global=35 role=candidate_pivotal: Scoop coffee beans from the coffee beans bag using the red coffee spoon that I just picked up.
CTX local=23 global=36 role=candidate_pivotal: Stretch both hands towards the coffee grinder so that I am closer to the coffee grinder when I have to drop the coffee beans inside the grinder.
CTX local=24 global=37 role=candidate_pivotal: Drop the coffee beans inside the coffee grinder by tilting the red coffee spoon that I'm holding with my right hand.
TARGET local=25 global=38 role=candidate_pivotal: Since I'm preparing two cups of coffee, scoop another spoon of coffee beans with my right hand using the red coffee spoon.
CTX local=26 global=39 role=candidate_pivotal: Drop the second spoonful of coffee beans inside the coffee grinder by tilting the spoon with my right hand.
CTX local=27 global=40 role=candidate_pivotal: Put down the red coffee spoon on the kitchen top next to the coffee grinder.
CTX local=28 global=41 role=candidate_pivotal: With my right hand, pick up the coffee grinder top lid from the kitchen top next to the coffee grinder.
CTX local=29 global=42 role=candidate_pivotal: Place the coffee grinder top lid on the coffee grinder.
CTX local=30 global=43 role=candidate_pivotal: Using my right hand, push the coffee grinder first to the right and then to the left.",,,
P03_R03_C04_W01,P03_R03_C04,prepare drip coffee,Drip Coffee,122,25,Put down kettle onto the kitchen top with my right hand while still holding the cloth in my left hand.,"Slowly pour over the remaining water over the coffee, making small circles. Stop when the water is 3/4 of the way or 2 cm from the top.",,51,37,0.7255,"CTX local=20 global=117 role=natural_noise_or_context: Shake hands above the sink to remove water droplets.
CTX local=21 global=118 role=natural_noise_or_context: Pick up cloth hanging from the cupboard under the sink.
CTX local=22 global=119 role=natural_noise_or_context: Dry both hands with the cloth I just picked up.
CTX local=23 global=120 role=recipe_context: Pick up kettle with my right hand while holding a cloth in my left hand.
CTX local=24 global=121 role=candidate_pivotal: With my right hand pour water slowly and in a rotating motion into the V60 coffee filter.
TARGET local=25 global=122 role=candidate_pivotal: Put down kettle onto the kitchen top with my right hand while still holding the cloth in my left hand.
CTX local=26 global=123 role=natural_noise_or_context: Dry hands using cloth.
CTX local=27 global=124 role=natural_noise_or_context: Put down cloth onto the kitchen top at the edge near the kitchen hob.
CTX local=28 global=125 role=natural_noise_or_context: Pick up butterfly shaped chopsticks holder.
CTX local=29 global=126 role=natural_noise_or_context: Grab table mats and move them slightly along the table without actually picking them up.
CTX local=30 global=127 role=natural_noise_or_context: Pick up the other butterfly shaped chopsticks holder with my right hand.",,,
P03_R03_C04_W02,P03_R03_C04,prepare drip coffee,Drip Coffee,47,25,"Using my right hand and the red spoon, scoop coffee from the coffee beans bag that I'm holding with my left hand mid air.",Grind coffee beans using the electric coffee grinder,coffee beans,51,30,0.5882,"CTX local=20 global=42 role=recipe_context: Grab coffee grinder lid to remove it.
CTX local=21 global=43 role=recipe_context: Put down coffee grinder lid with my right hand while at the same time putting down coffee beans bag onto the kitchen top with my left hand.
CTX local=22 global=44 role=recipe_context: Open coffee beans bag by unrolling the bag with both hands.
CTX local=23 global=45 role=recipe_context: Enlarge the opening of the bag to allow me to pour coffee beans later on into the grinder.
CTX local=24 global=46 role=recipe_context: While holding the coffee beans back midair with my left hand, grab the red coffee spoon from the kitchen top with my right hand.
TARGET local=25 global=47 role=candidate_pivotal: Using my right hand and the red spoon, scoop coffee from the coffee beans bag that I'm holding with my left hand mid air.
CTX local=26 global=48 role=candidate_pivotal: While holding the coffee beans bag near the top of the coffee grinder, drop the beans I just scooped from the spoon into the coffee grinder.
CTX local=27 global=49 role=candidate_pivotal: While holding the coffee beans back with my left hand midair scoop coffee with my right hand using the red spoon.
CTX local=28 global=50 role=candidate_pivotal: While holding the coffee beans bag near the top of the coffee grinder with my left hand drop the coffee beans from the spoon into the coffee grinder.
CTX local=29 global=51 role=candidate_pivotal: Put down red spoon in my right hand onto the countertop near the coffee grinder.
CTX local=30 global=52 role=candidate_pivotal: Try to turn on the coffee grinder by pushing the button on the top without succeeding because the coffee grinder lid is not on.",,,
P03_R03_C04_W03,P03_R03_C04,prepare drip coffee,Drip Coffee,83,25,Pour ground coffee from the box into the V60 filter by tilting the box to let the ground coffee fall into the filter while keeping the box lid into place with my left hand and tapping the back of the box with my right hand.,Pour ground coffee into the metal V60 filter,,51,27,0.5294,"CTX local=20 global=78 role=recipe_context: With my left hand, move the coffee jug first to the left and then outwards along the kitchen top.
CTX local=21 global=79 role=recipe_context: With my left hand grab and rotate the coffee jug from the kitchen top without actually lifting it. With my right hand pull the box containing the ground coffee from the coffee grinder.
CTX local=22 global=80 role=recipe_context: With my left hand move the coffee jug by sliding it along the kitchen top.
CTX local=23 global=81 role=recipe_context: With my right hand pull towards me the V60 coffee filter.
CTX local=24 global=82 role=recipe_context: With my right hand, grab the box containing the ground coffee.
TARGET local=25 global=83 role=candidate_pivotal: Pour ground coffee from the box into the V60 filter by tilting the box to let the ground coffee fall into the filter while keeping the box lid into place with my left hand and tapping the back of the box with my right hand.
CTX local=26 global=84 role=candidate_pivotal: Shake box horizontally to drop all the coffee from the box into the filter.
CTX local=27 global=85 role=candidate_pivotal: While holding the coffee box with my right hand, with my left hand remove the box lid to drop all the coffee into the V60 filter.
CTX local=28 global=86 role=candidate_pivotal: Tap the open coffee box against the V60 filter to drop all the coffee into the filter.
CTX local=29 global=87 role=candidate_pivotal: Tap the coffee box against the coffee lid to shake the ground coffee and drop it into the V60 filter.
CTX local=30 global=88 role=candidate_pivotal: Place the coffee box lid into the box.",,,
P03_R04_C01_W01,P03_R04_C01,prepare spanish tortilla,Spanish Tortilla,986,25,Pick up another burned potato chunk from the frying pan. The potato chunk got burned because it was too thin compared to the other chunks. I use the spatula to pick up the potato chunk by sliding the spatula underneath the burned potato chunk so that I can lift the chunk up.,"Add the onion to the pan and fry it together with the potatoes, adding oil if necessary.",,51,10,0.1961,"CTX local=20 global=981 role=candidate_pivotal: I split a few potato chunks that are too large using the spatula that I'm holding in my right hand. I split the potato chunks by pressing down on them with the top part of the spatula.
CTX local=21 global=982 role=candidate_pivotal: Pick up a potato chunk that is burned because it was too thin from the frying pan using the spatula that I'm holding in my right hand. I slide the spatula underneath this burned potato chunk to lift the chunk up.
CTX local=22 global=983 role=candidate_pivotal: Put the burned potato chunk on the chopping board, which is located on the kitchen top above the dishwasher.
CTX local=23 global=984 role=recipe_context: Chop the spatula on the chopping board so that the burned potato chunk comes off the spatula.
CTX local=24 global=985 role=candidate_pivotal: Continue stirring the potatoes and the onion in the frying pan using the spatula that I'm holding in my right hand, while holding the pan with my left hand.
TARGET local=25 global=986 role=candidate_pivotal: Pick up another burned potato chunk from the frying pan. The potato chunk got burned because it was too thin compared to the other chunks. I use the spatula to pick up the potato chunk by sliding the spatula underneath the burned potato chunk so that I can lift the chunk up.
CTX local=26 global=987 role=candidate_pivotal: Put the burnt potato chunk on the chopping board, located on the kitchen top above the dishwasher.
CTX local=27 global=988 role=candidate_pivotal: Tap the spatula against the chopping board so that the burnt potato chunk comes off.
CTX local=28 global=989 role=candidate_pivotal: Continue stirring the potatoes and the onion in the frying pan using the spatula that I'm holding in my right hand, while holding the frying pan with my left hand.
CTX local=29 global=990 role=candidate_pivotal: I get another burnt potato chunk from the frying pan by sliding the spatula underneath the potato chunk so that I can lift it up. The potato chunk was too thin compared to the other chunks, so it got burnt.
CTX local=30 global=991 role=candidate_pivotal: Put the burnt potato chunk on the chopping board located on the kitchen top above the dishwasher.",,,
P03_R05_C01_W01,P03_R05_C01,prepare pizza dough,Pizza Dough,617,25,"Transfer the pizza dough from the kitchen top into my hands by sliding the dough scraper underneath the dough, then flipping the dough scraper so that the dough ball falls into my hand.",Repeat the previous step several times until the dough is uniform and no longer sticks to the hands.,,51,38,0.7451,"CTX local=20 global=612 role=natural_noise_or_context: Wipe hands by rubbing them against the cloth. I'm wiping my hands because I'm going to fold the pizza dough. So I need clean hands.
CTX local=21 global=613 role=natural_noise_or_context: Put the cloth down on the kitchen top next to the hub.
CTX local=22 global=614 role=recipe_context: Using both hands, pick up a plastic box from the kitchen top. The plastic box was covering the pizza dough while it was resting.
CTX local=23 global=615 role=recipe_context: with my right hand pick up the dough scraper from the kitchen top.
CTX local=24 global=616 role=recipe_context: With my left hand, put down the plastic box on the kitchen top above the washing machine.
TARGET local=25 global=617 role=candidate_pivotal: Transfer the pizza dough from the kitchen top into my hands by sliding the dough scraper underneath the dough, then flipping the dough scraper so that the dough ball falls into my hand.
CTX local=26 global=618 role=candidate_pivotal: Put down the dough scraper with my right hand on the kitchen top.
CTX local=27 global=619 role=candidate_pivotal: Fold the pizza dough using both hands by stretching the pizza dough and pulling the four sides of the dough ball and folding each side on itself.
CTX local=28 global=620 role=candidate_pivotal: With my right hand pick up those scrapers from the kitchen top.
CTX local=29 global=621 role=candidate_pivotal: Flip the pizza dough on the kitchen top by sliding the dough scraper underneath the dough, then flipping the dough scraper to flip the pizza dough on the kitchen top.
CTX local=30 global=622 role=candidate_pivotal: Turn the pizza dough on the kitchen top, sliding the dough scraper that I'm holding in my right hand underneath the dough. Then using both my left hand and the dough scraper, turn the dough anti-clockwise.",,,
P03_R05_C01_W02,P03_R05_C01,prepare pizza dough,Pizza Dough,453,25,"With my right hand, grab the scraper from the kitchen top.",Repeat the previous step several times until the dough is uniform and no longer sticks to the hands.,,51,33,0.6471,"CTX local=20 global=448 role=natural_noise_or_context: Turn off tap with my right hand.
CTX local=21 global=449 role=natural_noise_or_context: shake hands above the sink to remove water from my hands
CTX local=22 global=450 role=natural_noise_or_context: pick up cloth from the kitchen top next to the hob.
CTX local=23 global=451 role=natural_noise_or_context: dry hands by rubbing them against the cloth.
CTX local=24 global=452 role=natural_noise_or_context: With my right hand put down cloth on the kitchen top next to the hub.
TARGET local=25 global=453 role=candidate_pivotal: With my right hand, grab the scraper from the kitchen top.
CTX local=26 global=454 role=candidate_pivotal: Flip the dough on the kitchen top multiple times using the dough scraper, sliding the dough scraper under the dough, then lifting the dough with the scraper and flipping the dough scraper so that the dough comes off.
CTX local=27 global=455 role=candidate_pivotal: put down the dough scraper on the kitchen top next to the hob.
CTX local=28 global=456 role=candidate_pivotal: grab the pizza dough from the kitchen top using both hands
CTX local=29 global=457 role=candidate_pivotal: Grab the dough scraper again from the kitchen top. I do this because the dough is quite sticky and I need to use the scraper to detach it from the kitchen top without breaking the dough.
CTX local=30 global=458 role=candidate_pivotal: Fold the pizza dough using both hands. I fold the dough ball by pulling the four sides of the ball and then folding each side on itself. I start folding the pizza dough while holding it midair and then resting the dough ball on the kitchen top.",,,
P03_R05_C01_W03,P03_R05_C01,prepare pizza dough,Pizza Dough,764,25,"Flip the dough from the kitchen top two times, sliding the dough scraper underneath the dough ball, then lifting the dough scraper and flipping it to turn the dough on itself.",Repeat the previous step several times until the dough is uniform and no longer sticks to the hands.,,51,24,0.4706,"CTX local=20 global=759 role=natural_noise_or_context: dry hands rubbing them against the cloth
CTX local=21 global=760 role=recipe_context: put down the cloth with my right hand on the kitchen top next to the hob
CTX local=22 global=761 role=recipe_context: Using both hands, lift the plastic box from the kitchen top. The plastic box was covering the pizza dough while it was resting.
CTX local=23 global=762 role=recipe_context: With my left hand put down the plastic box on the kitchen top above the washing machine.
CTX local=24 global=763 role=recipe_context: with my right hand pick up those scrapers from the kitchen top.
TARGET local=25 global=764 role=candidate_pivotal: Flip the dough from the kitchen top two times, sliding the dough scraper underneath the dough ball, then lifting the dough scraper and flipping it to turn the dough on itself.
CTX local=26 global=765 role=candidate_pivotal: Transfer now the pizza dough onto my hands by sliding the dough scraper underneath the dough ball, then lifting the dough ball up and flipping the dough scraper to drop the dough ball into my hands.
CTX local=27 global=766 role=candidate_pivotal: Fold the pizza dough using both hands by pulling and stretching the four sides of the dough ball, then folding each side on itself.
CTX local=28 global=767 role=candidate_pivotal: With my right hand, pick up those scrapers from the kitchen top.
CTX local=29 global=768 role=candidate_pivotal: Slide the dough scraper underneath the pizza dough, then lift and flip the dough scraper to turn the dough on itself.
CTX local=30 global=769 role=candidate_pivotal: With my right hand put down the dough scraper on the kitchen top.",,,
P03_R05_C01_W04,P03_R05_C01,prepare pizza dough,Pizza Dough,784,25,"Turn the pizza dough on the kitchen top, using both hands to shape the pizza dough into a rounded ball and occasionally pulling the dough gently towards myself.",Repeat the previous step several times until the dough is uniform and no longer sticks to the hands.,,51,24,0.4706,"CTX local=20 global=779 role=candidate_pivotal: With my right hand, push the dough scraper along the kitchen top so that the dough scraper is out of the way as I turn the pizza dough in a second.
CTX local=21 global=780 role=candidate_pivotal: I turn the pizza dough on the kitchen top using both hands multiple times. I do this to shape the pizza dough into a round ball and from time to time pulling the pizza dough gently towards myself.
CTX local=22 global=781 role=candidate_pivotal: Grab the pizza dough with my right hand and move it along the kitchen top without actually picking the dough scraper up.
CTX local=23 global=782 role=recipe_context: Using both hands, pick up the box container from the kitchen top.
CTX local=24 global=783 role=recipe_context: Lower the plastic box towards the kitchen top as to cover the pizza dough without actually putting the plastic box down, because I changed my mind and put the plastic box down on the left hand side of the kitchen top. I changed my mind because the pizza dough is not as round as I would like it to be.
TARGET local=25 global=784 role=candidate_pivotal: Turn the pizza dough on the kitchen top, using both hands to shape the pizza dough into a rounded ball and occasionally pulling the dough gently towards myself.
CTX local=26 global=785 role=recipe_context: Using both hands, pick up the plastic box from the kitchen top.
CTX local=27 global=786 role=recipe_context: Place the plastic box on the kitchen top above the pizza dough to cover the dough while it rests.
CTX local=28 global=787 role=natural_noise_or_context: With my right hand, pick up the cup from the top shelf of the drying rack located at the right hand side of the sink.
CTX local=29 global=788 role=natural_noise_or_context: With my left hand, open the cupboard above the hob.
CTX local=30 global=789 role=natural_noise_or_context: With my right hand, put the cup on the lower shelf of the cupboard.",,,
P03_R06_C01_W01,P03_R06_C01,prepare roasted kale,Roasted Kale,102,25,set the oven timer to twenty minutes by pushing the buttons at the top of the oven,"Cook for 15 minutes in an oven preheated at 180 degrees with the fan on (200 if the oven does not have a fan). Once it's mainly wilted but crisp at the edges, it's ready.",,51,27,0.5294,"CTX local=20 global=97 role=recipe_context: With my left hand, grab oven mitts, which are hanging from the top oven handle.
CTX local=21 global=98 role=candidate_pivotal: While holding the oven mitts in my left hand, using the left hand, open the bottom oven by pulling the door handle.
CTX local=22 global=99 role=candidate_pivotal: Place the baking tray on the top shelf of the bottom oven to cook the kale.
CTX local=23 global=100 role=candidate_pivotal: With my left hand close the bottom oven by pulling the door oven upward.
CTX local=24 global=101 role=recipe_context: Hang the oven mitts on the handle of the top oven.
TARGET local=25 global=102 role=candidate_pivotal: set the oven timer to twenty minutes by pushing the buttons at the top of the oven
CTX local=26 global=103 role=natural_noise_or_context: with my left hand pick up scale from the kitchen top.
CTX local=27 global=104 role=natural_noise_or_context: open lower cupboard by pulling it with my right hand
CTX local=28 global=105 role=natural_noise_or_context: Place the scale on the top shelf of the bottom cupboard.
CTX local=29 global=106 role=natural_noise_or_context: Close the cupboard with my right hand.
CTX local=30 global=107 role=natural_noise_or_context: with my right hand move the plastic box lid so that it is closer to the wall",,,
P03_R07_C01_W01,P03_R07_C01,prepare pizza with aubergine and egg,Pizza with Aubergine and Egg,664,25,"Cut the egg on the chopping board, slicing it into four slices of the same size, using the knife that I'm holding in my right hand, while holding the egg on the chopping board with my left hand.",Peel the egg and slice it in 4 slices,,51,50,0.9804,"CTX local=20 global=659 role=natural_noise_or_context: With my left hand, move the plastic colander, sliding it from right to left, along the kitchen top to make room for the saucepan that I'm holding in my right hand.
CTX local=21 global=660 role=natural_noise_or_context: With my right hand, put down the saucepan on the kitchen top next to the sink.
CTX local=22 global=661 role=natural_noise_or_context: With my right hand, pick up the knife from the sink.
CTX local=23 global=662 role=natural_noise_or_context: Shake the knife above the sink to remove the water from the blade of the knife.
CTX local=24 global=663 role=natural_noise_or_context: Rub the cloth hanging from the cupboard under the sink against the blade of the knife to wipe dry the knife.
TARGET local=25 global=664 role=candidate_pivotal: Cut the egg on the chopping board, slicing it into four slices of the same size, using the knife that I'm holding in my right hand, while holding the egg on the chopping board with my left hand.
CTX local=26 global=665 role=natural_noise_or_context: With my left hand, pull the dishwasher door down to open the dishwasher.
CTX local=27 global=666 role=natural_noise_or_context: Place the knife into the dishwasher cutlery tray located at the bottom left corner of the dishwasher bottom rack.
CTX local=28 global=667 role=natural_noise_or_context: With my left hand, pull the dishwasher door up to close the dishwasher.
CTX local=29 global=668 role=natural_noise_or_context: Using both hands, pick up the plate containing the aubergine from the kitchen top next to the hob, holding the spoon firmly on the plate as I move it so that the spoon doesn't fall on the floor.
CTX local=30 global=669 role=natural_noise_or_context: Put the plate containing the aubergine on the other side of the kitchen on the kitchen top above the dishwasher.",,,
